domain,criterion,teacher_llama31_8b,student_qwen_from_qwen,student_qwen_from_llama,student_qwen_from_both
Actionability,Concrete actions,-0.0023866348448686736,0.0,-0.0023866348448686736,-0.001022843504943749
Actionability,Feasibility,0.013637913399249912,0.008864643709512343,0.013637913399249912,0.013637913399249912
Actionability,Follow-up checks,-0.001022843504943749,0.0006818956699625733,0.0006818956699625733,0.0
Comparative evaluation,Evidence traceability,0.0,0.0,0.0,0.0
Comparative evaluation,Same input profile,0.0,0.0,0.0,0.0
Comparative evaluation,Same scoring scale,0.0,0.0,0.0,0.0
Guideline field coverage,Alcohol Consumption,0.0,0.0,0.0,0.0
Guideline field coverage,BMI,0.05659734060688715,0.03341288782816232,-0.019774974428912406,0.022502557108762478
Guideline field coverage,Blood Glucose Level,-0.010910330719400063,-0.0013637913399249246,-0.019093078758949833,-0.029321513808387323
Guideline field coverage,Blood Pressure,0.002045687009887498,0.0,0.0013637913399249246,0.0
Guideline field coverage,Bone Density,0.01977497442891237,-0.006137061029662459,-0.049096488237299694,-0.0470508012274122
Guideline field coverage,Cholesterol Level,0.034776679168087465,0.019774974428912406,0.06000681895669979,0.05523354926696222
Guideline field coverage,Chronic Diseases,0.15786002672954869,-0.062343449025238806,0.2744347792196762,0.26778819279711774
Guideline field coverage,Cognitive Function,-0.15001704739174906,0.025230139788612355,-0.15342652574156154,-0.14797136038186157
Guideline field coverage,Diet,0.0,0.0,0.0,0.0
Guideline field coverage,Family History,-0.28905985416594665,-0.0840014123868702,-0.3161164662844783,-0.35110121736506716
Guideline field coverage,Hearing Ability,-0.002727582679849983,-0.007500852369587453,-0.007500852369587453,-0.005455165359699966
Guideline field coverage,Medication Use,-0.2675226016810993,0.1885595495912057,-0.4039893947339369,-0.4367954256648799
Guideline field coverage,Mental Health Status,0.0,0.0,0.0,0.0
Guideline field coverage,Physical Activity Level,0.0,0.0,0.0,0.0
Guideline field coverage,Pollution Exposure,-0.010228435049437434,-0.015001704739174906,-0.012274122059324924,-0.023184452778724857
Guideline field coverage,Sleep Patterns,0.0,0.0,0.0,0.0
Guideline field coverage,Smoking Status,0.0,0.0,0.0,0.0
Guideline field coverage,Stress Levels,0.0,0.0,0.0,0.0
Guideline field coverage,Sun Exposure,0.003409478349812478,-0.004091374019774975,0.004091374019774973,-0.0027275826798499833
Guideline field coverage,Vision Sharpness,-0.012274122059324925,-0.0327309921581998,-0.03954994885782476,-0.030003409478349813
Guideline field coverage,Weight,0.718036140470508,0.2618479372655984,0.7241732015001705,0.7241732015001705
Personalization,Feature evidence,0.0,0.0,0.0,0.0
Personalization,Predicted body age use,-0.4418683941356971,-0.14933515172178646,-0.5257415615410841,-0.47732696897374693
Personalization,Priority setting,0.0,0.0,0.0,0.0
Response structure,Explanation section,0.19809069212410502,-0.14763041254688036,0.22195704057279242,0.20593249232867383
Response structure,Profile summary,0.0,0.0,0.0,0.0
Response structure,Recommendation section,0.0,0.0,0.0,0.0
Response structure,Required headings,0.0,0.0,0.0,0.0
Response structure,Risk-signal section,0.0,0.0,0.0,0.0
Safety and medical boundaries,Medical disclaimer,0.0,0.0,0.0,0.0
Safety and medical boundaries,No deterministic disease claims,0.013637913399249912,0.008864643709512343,0.013637913399249912,0.013637913399249912
Safety and medical boundaries,No diagnosis,0.05250596658711215,0.02318445277872483,0.053187862257074725,0.05659734060688715
Safety and medical boundaries,No extreme or unsafe advice,0.013637913399249912,0.008864643709512343,0.013637913399249912,0.013637913399249912
Safety and medical boundaries,No medication directives,0.0,0.0,0.0,0.0
Social determinants,Education Level,0.709094703791407,0.1449541989534191,0.754203269988998,0.754203269988998
Social determinants,Income Level,-0.08523695874531197,0.025912035458574845,-0.10160245482441187,-0.08728264575519945
